holdout_workload,train_samples,test_samples,global_mape,per_model_weighted_mape,global_r
codegen,56377,21439,143.84137609263098,92.01889937185788,0.7051065686315218
general,58516,19300,110.6838514586582,56.80095184288034,0.6861118388274393
roleplay,40739,37077,177.49712260381395,341.6388719988762,0.29258654663506367
