experiment,model,workload,label,status,gt_e2e_ms,blis_e2e_ms,e2e_error,ttft_error,itl_error,alpha0,beta0,beta1,beta2,holdout_model
20260218-084319-llama-2-70b-tp4-roleplay,llama-2-70b,roleplay,lomo-llama-2-70b,ok,4561.57099792086,523584.52149661165,113.78162276445083,9308.74318044613,9.422729861615423,71461.372647632,3133.379925926707,40.351433964322474,582.7318253800896,llama-2-70b
20260218-120914-mixtral-8x7b-v0-1-tp2-codegen,mixtral-8x7b-v0-1,codegen,lomo-llama-2-70b,ok,4675.230160187726,542004.5994608969,114.93110518416353,8997.204037639025,8.422820316560914,59703.40277973351,398.16567833327645,40.351433964322474,582.7318253800896,llama-2-70b
20260218-130541-mixtral-8x7b-v0-1-tp2-general,mixtral-8x7b-v0-1,general,lomo-llama-2-70b,ok,5038.638279881672,586460.1867978723,115.39259542394554,8336.974092118422,7.693477076308948,59703.40277973351,398.16567833327645,40.351433964322474,582.7318253800896,llama-2-70b
20260218-141024-mixtral-8x7b-v0-1-tp2-roleplay,mixtral-8x7b-v0-1,roleplay,lomo-llama-2-70b,ok,4684.723604656756,523031.8656911827,110.64625916698124,8417.709333802484,8.857012933665906,59703.40277973351,398.16567833327645,40.351433964322474,582.7318253800896,llama-2-70b
20260218-150304-codellama-34b-tp2-general,codellama-34b,general,lomo-llama-2-70b,ok,4092.5312723108796,581890.1499174276,141.1834339677162,11056.732088766037,9.456429346820286,51853.62038235222,-1495.336119825697,40.351433964322474,582.7318253800896,llama-2-70b
20260218-150956-codellama-34b-tp2-codegen,codellama-34b,codegen,lomo-llama-2-70b,ok,3722.85792777915,542780.7247888165,144.79678712386675,11637.27683617074,10.56756848171362,51853.62038235222,-1495.336119825697,40.351433964322474,582.7318253800896,llama-2-70b
20260218-155500-codellama-34b-tp2-roleplay,codellama-34b,roleplay,lomo-llama-2-70b,ok,3669.7311178867753,519126.2768125,140.46166575589336,10877.510687765112,11.260448420809963,51853.62038235222,-1495.336119825697,40.351433964322474,582.7318253800896,llama-2-70b
20260217-162547-llama-2-7b-tp1-roleplay,llama-2-7b,roleplay,lomo-mixtral-8x7b-v0-1,ok,2071.1203091347243,-3573.175003472222,2.725237779627118,0.07469034229566494,4.531534666064711,25229.327046607446,-15149.115916054014,24.789607670536938,812.7413100457727,mixtral-8x7b-v0-1
20260217-202857-llama-2-70b-tp4-general,llama-2-70b,general,lomo-mixtral-8x7b-v0-1,ok,5320.605252511034,588820.6762059962,109.66798761815775,5580.1147290958625,8.894567691378985,69614.26575320854,-5796.386275923665,24.789607670536938,812.7413100457727,mixtral-8x7b-v0-1
20260217-203421-llama-2-70b-hf-tp4-codegen,llama-2-70b-hf,codegen,lomo-mixtral-8x7b-v0-1,ok,4605.497935959306,506798.00437534164,109.04195668362138,8893.066742094952,9.48114134839685,69614.26575320854,-5796.386275923665,24.789607670536938,812.7413100457727,mixtral-8x7b-v0-1
20260218-084319-llama-2-70b-tp4-roleplay,llama-2-70b,roleplay,lomo-mixtral-8x7b-v0-1,ok,4561.57099792086,483421.0710873756,104.97688193556921,8585.669435955415,9.917426369393363,69614.26575320854,-5796.386275923665,24.789607670536938,812.7413100457727,mixtral-8x7b-v0-1
20260218-120914-mixtral-8x7b-v0-1-tp2-codegen,mixtral-8x7b-v0-1,codegen,lomo-mixtral-8x7b-v0-1,ok,4675.230160187726,34523.18801611111,6.384275604246378,520.5438506255448,0.662322441834817,58239.17523376933,-7927.691757546963,24.789607670536938,812.7413100457727,mixtral-8x7b-v0-1
20260218-130541-mixtral-8x7b-v0-1-tp2-general,mixtral-8x7b-v0-1,general,lomo-mixtral-8x7b-v0-1,ok,5038.638279881672,533246.8312106512,104.8315365363306,7569.549173938715,8.347360552317896,58239.17523376933,-7927.691757546963,24.789607670536938,812.7413100457727,mixtral-8x7b-v0-1
20260218-141024-mixtral-8x7b-v0-1-tp2-roleplay,mixtral-8x7b-v0-1,roleplay,lomo-mixtral-8x7b-v0-1,ok,4684.723604656756,409119.25279305555,86.33049958088856,6419.386737108222,7.943233284319302,58239.17523376933,-7927.691757546963,24.789607670536938,812.7413100457727,mixtral-8x7b-v0-1
20260218-150304-codellama-34b-tp2-general,codellama-34b,general,lomo-mixtral-8x7b-v0-1,ok,4092.5312723108796,339238.86763213214,81.89218702550764,6486.805354319204,6.123166506013697,50635.75202894902,-9430.924911166614,24.789607670536938,812.7413100457727,mixtral-8x7b-v0-1
20260218-150956-codellama-34b-tp2-codegen,codellama-34b,codegen,lomo-mixtral-8x7b-v0-1,ok,3722.85792777915,-2029.7785202222221,1.5452205159580386,0.16748388790946642,2.1358543536198664,50635.75202894902,-9430.924911166614,24.789607670536938,812.7413100457727,mixtral-8x7b-v0-1
20260218-155500-codellama-34b-tp2-roleplay,codellama-34b,roleplay,lomo-mixtral-8x7b-v0-1,ok,3669.7311178867753,401701.87589055556,108.46357184933937,8349.43624657311,10.190882179176281,50635.75202894902,-9430.924911166614,24.789607670536938,812.7413100457727,mixtral-8x7b-v0-1
