gen,eval,α₀,γ₁,γ₂,γ₃,γ_wt,γ₇pf,γ₈,γ₉,α₂,loss,wall_s
19,182,13966.36441,0.01633,0.60754,1.54433,0.19390,49.99705,486.41896,102.01089,19.95904,81.479689,2467
19,183,12687.81549,0.02503,0.73547,1.67581,0.19648,46.84214,421.74622,178.31263,12.49211,73.657063,2467
19,184,16285.45219,0.01116,0.86087,1.11886,0.18481,30.70944,393.72891,206.43857,15.05549,67.934782,2467
19,185,20309.99313,0.01825,0.42490,1.11917,0.19183,14.64988,260.93290,263.39224,10.53624,84.053783,2467
19,186,17387.83061,0.03365,0.66927,0.87100,0.14073,28.91832,423.88750,5.77803,15.42096,68.552842,2467
19,187,5086.39610,0.01394,0.51835,1.40302,0.19703,38.64109,496.18782,214.39000,9.71217,80.786780,2467
19,188,9123.87220,0.01301,0.61883,1.69083,0.19717,49.83271,477.66644,175.60893,12.32596,82.352974,2467
19,189,17725.24739,0.01014,0.75470,1.47354,0.19378,33.39770,477.89996,25.12536,13.65487,73.779724,2467
19,190,13911.46266,0.01027,0.87260,1.39443,0.18110,43.36063,407.01476,102.40472,12.28225,68.253520,2467
20,191,19075.22073,0.01070,0.96313,0.90269,0.17494,40.14113,499.19076,125.14423,16.09806,76.072386,2628
20,192,9246.57754,0.01036,0.63756,1.45232,0.18493,31.99027,265.26110,28.62180,16.22782,85.027847,2628
20,193,13604.75221,0.01034,0.79972,1.51552,0.16923,36.36821,446.16638,190.79418,18.96996,73.078848,2628
20,194,17149.01426,0.01389,0.74424,1.24866,0.15348,37.10582,355.67670,226.22957,10.37945,66.561716,2628
20,195,19060.74732,0.01119,0.99204,1.38186,0.19617,41.03861,422.48309,127.21786,10.71401,76.348308,2628
20,196,16239.68432,0.01021,0.74656,1.00537,0.14457,36.94215,430.85269,91.97497,18.26270,69.130689,2628
20,197,10896.96801,0.01047,1.01661,0.91373,0.18830,36.55391,421.78966,226.30367,18.86078,71.839690,2628
20,198,15631.69717,0.01222,0.92224,1.08273,0.18725,39.52851,330.17745,11.67216,19.39218,75.116708,2628
20,199,8906.71849,0.03832,1.19164,0.77401,0.19526,38.96009,447.21690,134.02224,14.02924,75.980258,2628
20,200,17453.38875,0.01365,0.75931,1.04115,0.08735,39.58997,407.14979,29.07294,14.71997,74.889649,2628
21,201,13509.56070,0.01350,0.60740,1.14320,0.17771,34.66119,489.54655,174.00583,16.13832,69.843965,2791
21,202,18094.06386,0.01311,0.66942,1.36714,0.16176,22.33629,284.91678,129.40818,13.69470,76.078176,2791
21,203,12171.66766,0.01022,0.56399,1.01347,0.16080,38.59233,341.33801,74.21058,18.66324,72.133153,2791
21,204,17185.49892,0.01024,0.63694,1.38688,0.10535,37.13580,400.80974,138.44805,17.37343,66.458827,2791
21,205,14977.38776,0.01343,0.70496,1.24912,0.14092,24.16766,479.88539,198.16524,13.30974,71.861520,2791
21,206,19455.69084,0.03928,0.88997,0.96099,0.08037,45.22988,376.31497,47.30676,19.63580,100.127684,2791
21,207,19190.91097,0.03764,0.61140,0.88730,0.14093,29.89540,285.17497,76.08234,13.83318,82.437106,2791
