experiment,model,workload,model_key,gt_e2e_ms,blis_e2e_ms,e2e_error_pct,gt_ttft_ms,blis_ttft_ms,ttft_error_pct,gt_itl_ms,blis_itl_ms,itl_error_pct
20260217-162547-llama-2-7b-tp1-roleplay,llama-2-7b,roleplay,llama-2-7b_tp1,2071.1203091347243,983.7474719444444,52.50167420957618,27.12883728152974,5.8514719444444445,78.43080452095774,4.059359060868952,3.896,4.024257485465784
20260217-202857-llama-2-70b-tp4-general,llama-2-70b,general,llama-2-70b_tp4,5320.605252511034,15041.307600535714,182.6991833952921,103.02162049001622,13050.115600535715,12567.356170931514,10.494583793607287,8.029,23.49386923861795
20260217-203421-llama-2-70b-hf-tp4-codegen,llama-2-70b-hf,codegen,llama-2-70b-hf_tp4,4605.497935959306,2038.541727888889,55.73677903594003,55.587112953642645,12.375650777777777,77.73647502057077,9.188126368948637,8.20310152676563,10.720627934677825
20260218-084319-llama-2-70b-tp4-roleplay,llama-2-70b,roleplay,llama-2-70b_tp4,4561.57099792086,2027.3892234722223,55.55502206594404,54.75399409082153,12.110223472222222,77.88248387481147,8.955773409414409,8.029,10.348334722718358
20260218-120914-mixtral-8x7b-v0-1-tp2-codegen,mixtral-8x7b-v0-1,codegen,mixtral-8x7b-v0-1_tp2,4675.230160187726,2267.461053,51.500547025283694,58.854975121278486,13.833053,76.49637439911382,9.322447453593773,9.124,2.1287055205365766
20260218-130541-mixtral-8x7b-v0-1-tp2-general,mixtral-8x7b-v0-1,general,mixtral-8x7b-v0-1_tp2,5038.638279881672,32983.70516476191,554.6154602218538,68.93669608209858,30720.953164761904,44464.0056903445,9.99752643690138,9.124,8.737425626374424
20260218-141024-mixtral-8x7b-v0-1-tp2-roleplay,mixtral-8x7b-v0-1,roleplay,mixtral-8x7b-v0-1_tp2,4684.723604656756,2303.9034491666666,50.82093110303204,60.509117330139915,13.779449166666668,77.2274827750577,9.189132032182938,9.124,0.7087941707097755
20260218-150304-codellama-34b-tp2-general,codellama-34b,general,codellama-34b_tp2,4092.5312723108796,122822.30173005952,2901.1328822591245,51.589844846305255,119188.62173291667,230931.16919230798,8.127407304822974,14.651935472350232,80.27810004865225
20260218-150956-codellama-34b-tp2-codegen,codellama-34b,codegen,codellama-34b_tp2,3722.85792777915,17505.724016333334,370.2227255493543,45.58050997627692,13913.306815222222,30424.68439353491,7.424517183929284,14.544199194781825,95.89420880139421
20260218-155500-codellama-34b-tp2-roleplay,codellama-34b,roleplay,codellama-34b_tp2,3669.7311178867753,3790.393559861111,3.2880458567171402,45.68358012591489,174.83083333333335,282.6995013338659,7.19996093137098,14.404632376604692,100.06542415865351
