experiment,model,workload,model_key,e2e_error_pct_a,ttft_error_pct_a,itl_error_pct_a,e2e_error_pct_b,ttft_error_pct_b,itl_error_pct_b,e2e_diff_pp,ttft_diff_pp,itl_diff_pp
20260217-162547-llama-2-7b-tp1-roleplay,llama-2-7b,roleplay,llama-2-7b_tp1,52.50167420957618,78.43080452095774,4.024257485465784,52.491921034006936,77.68620939546915,4.024257485465784,0.009753175569244377,0.744595125488587,0.0
20260217-202857-llama-2-70b-tp4-general,llama-2-70b,general,llama-2-70b_tp4,182.6991833952921,12567.356170931514,23.49386923861795,182.70696446493272,12567.758028326138,23.49386923861795,-0.007781069640628857,-0.4018573946232209,0.0
20260217-203421-llama-2-70b-hf-tp4-codegen,llama-2-70b-hf,codegen,llama-2-70b-hf_tp4,55.73677903594003,77.73647502057077,10.720627934677825,55.730699345884936,77.23276114675703,10.720627934677825,0.006079690055095455,0.5037138738137372,0.0
20260218-084319-llama-2-70b-tp4-roleplay,llama-2-70b,roleplay,llama-2-70b_tp4,55.55502206594404,77.88248387481147,10.348334722718358,55.5459462453509,77.12637465049937,10.348334722718358,0.009075820593139383,0.7561092243120981,0.0
20260218-120914-mixtral-8x7b-v0-1-tp2-codegen,mixtral-8x7b-v0-1,codegen,mixtral-8x7b-v0-1_tp2,51.500547025283694,76.49637439911382,2.1287055205365766,51.4929965948684,75.89659502740804,2.1287055205365766,0.007550430415292908,0.5997793717057789,0.0
20260218-130541-mixtral-8x7b-v0-1-tp2-general,mixtral-8x7b-v0-1,general,mixtral-8x7b-v0-1_tp2,554.6154602218538,44464.0056903445,8.737425626374424,554.6224660829693,44464.517754339526,8.737425626374424,-0.007005861115430889,-0.5120639950255281,0.0
20260218-141024-mixtral-8x7b-v0-1-tp2-roleplay,mixtral-8x7b-v0-1,roleplay,mixtral-8x7b-v0-1_tp2,50.82093110303204,77.2274827750577,0.7087941707097755,50.813395973325584,76.64409961632803,0.7087941707097755,0.007535129706454313,0.5833831587296601,0.0
20260218-150304-codellama-34b-tp2-general,codellama-34b,general,codellama-34b_tp2,2901.1328822591245,230931.16919230798,80.27810004865225,2901.139968338148,230931.73131844122,80.27810004865225,-0.007086079023338243,-0.5621261332416907,0.0
20260218-150956-codellama-34b-tp2-codegen,codellama-34b,codegen,codellama-34b_tp2,370.2227255493543,30424.68439353491,95.89420880139421,370.2305152637519,30425.320630382965,95.89420880139421,-0.0077897143975746985,-0.6362368480549776,0.0
20260218-155500-codellama-34b-tp2-roleplay,codellama-34b,roleplay,codellama-34b_tp2,3.2880458567171402,282.6995013338659,100.06542415865351,3.295948343048808,283.3343027202736,100.06542415865351,-0.007902486331667902,-0.6348013864077302,0.0
