dtype,kv_dtype,batch_size,kv_len,latency_us,mfu
bf16,bf16,1,1024,40.142,0.0
bf16,bf16,1,4096,23.732,0.001
bf16,bf16,1,8192,24.09,0.002
bf16,bf16,1,16384,23.758,0.005
bf16,bf16,1,32768,24.098,0.01
bf16,bf16,1,65536,40.098,0.012
bf16,bf16,1,131072,61.122,0.016
bf16,bf16,16,1024,23.499,0.005
bf16,bf16,16,4096,38.694,0.012
bf16,bf16,16,8192,57.858,0.016
bf16,bf16,16,16384,100.633,0.019
bf16,bf16,16,32768,183.926,0.021
bf16,bf16,16,65536,352.322,0.022
bf16,bf16,16,131072,686.348,0.022
bf16,bf16,32,1024,23.474,0.01
bf16,bf16,32,4096,58.333,0.016
bf16,bf16,32,8192,100.311,0.019
bf16,bf16,32,16384,183.968,0.021
bf16,bf16,32,32768,350.709,0.022
bf16,bf16,32,65536,684.573,0.022
bf16,bf16,32,131072,1356.62,0.022
bf16,bf16,64,1024,41.879,0.011
bf16,bf16,64,4096,101.383,0.019
bf16,bf16,64,8192,184.512,0.021
bf16,bf16,64,16384,351.956,0.022
bf16,bf16,64,32768,686.434,0.022
bf16,bf16,64,65536,1350.654,0.022
bf16,bf16,64,131072,2699.619,0.023
bf16,bf16,128,1024,58.01,0.016
bf16,bf16,128,4096,193.895,0.02
bf16,bf16,128,8192,347.25,0.022
bf16,bf16,128,16384,682.105,0.022
bf16,bf16,128,32768,1355.082,0.022
bf16,bf16,128,65536,2685.074,0.023
bf16,bf16,256,1024,106.545,0.018
bf16,bf16,256,4096,381.474,0.02
bf16,bf16,256,8192,688.135,0.022
bf16,bf16,256,16384,1359.582,0.022
bf16,bf16,512,1024,188.585,0.02
bf16,bf16,512,4096,693.155,0.022
bf16,bf16,512,8192,1361.674,0.022
