dtype,kv_dtype,batch_size,kv_len,latency_us,mfu
bf16,bf16,1,1024,35.737,0.0
bf16,bf16,1,4096,21.383,0.001
bf16,bf16,1,8192,22.333,0.002
bf16,bf16,1,16384,34.235,0.002
bf16,bf16,1,32768,55.238,0.002
bf16,bf16,1,65536,97.811,0.003
bf16,bf16,1,131072,181.568,0.003
bf16,bf16,16,1024,32.282,0.002
bf16,bf16,16,4096,97.011,0.003
bf16,bf16,16,8192,180.949,0.003
bf16,bf16,16,16384,352.595,0.003
bf16,bf16,16,32768,691.806,0.003
bf16,bf16,16,65536,1371.835,0.003
bf16,bf16,16,131072,2739.826,0.003
bf16,bf16,32,1024,56.614,0.002
bf16,bf16,32,4096,195.046,0.003
bf16,bf16,32,8192,352.201,0.003
bf16,bf16,32,16384,691.173,0.003
bf16,bf16,32,32768,1372.205,0.003
bf16,bf16,32,65536,2739.665,0.003
bf16,bf16,32,131072,5473.478,0.003
bf16,bf16,64,1024,100.465,0.003
bf16,bf16,64,4096,373.372,0.003
bf16,bf16,64,8192,739.144,0.003
bf16,bf16,64,16384,1358.354,0.003
bf16,bf16,64,32768,2727.082,0.003
bf16,bf16,64,65536,5448.782,0.003
bf16,bf16,64,131072,10908.009,0.003
bf16,bf16,128,1024,192.409,0.003
bf16,bf16,128,4096,744.201,0.003
bf16,bf16,128,8192,1486.335,0.003
bf16,bf16,128,16384,2973.324,0.003
bf16,bf16,128,32768,5517.307,0.003
bf16,bf16,128,65536,10991.73,0.003
bf16,bf16,256,1024,377.056,0.003
bf16,bf16,256,4096,1484.853,0.003
bf16,bf16,256,8192,2967.627,0.003
bf16,bf16,256,16384,5916.377,0.003
bf16,bf16,512,1024,748.22,0.003
bf16,bf16,512,4096,2958.91,0.003
bf16,bf16,512,8192,5445.367,0.003
