dtype,kv_dtype,batch_size,kv_len,latency_us,mfu
bf16,bf16,1,1024,39.512,0.0
bf16,bf16,1,4096,23.524,0.001
bf16,bf16,1,8192,25.333,0.003
bf16,bf16,1,16384,24.221,0.006
bf16,bf16,1,32768,37.195,0.007
bf16,bf16,1,65536,59.402,0.009
bf16,bf16,1,131072,101.976,0.011
bf16,bf16,16,1024,23.586,0.006
bf16,bf16,16,4096,57.689,0.009
bf16,bf16,16,8192,98.824,0.011
bf16,bf16,16,16384,182.909,0.012
bf16,bf16,16,32768,348.513,0.012
bf16,bf16,16,65536,681.06,0.013
bf16,bf16,16,131072,1346.25,0.013
bf16,bf16,32,1024,39.407,0.007
bf16,bf16,32,4096,99.418,0.011
bf16,bf16,32,8192,183.079,0.012
bf16,bf16,32,16384,348.67,0.012
bf16,bf16,32,32768,680.779,0.013
bf16,bf16,32,65536,1346.328,0.013
bf16,bf16,32,131072,2676.269,0.013
bf16,bf16,64,1024,57.895,0.009
bf16,bf16,64,4096,193.11,0.011
bf16,bf16,64,8192,345.694,0.013
bf16,bf16,64,16384,677.525,0.013
bf16,bf16,64,32768,1343.385,0.013
bf16,bf16,64,65536,2676.568,0.013
bf16,bf16,64,131072,5343.08,0.013
bf16,bf16,128,1024,105.9,0.01
bf16,bf16,128,4096,379.037,0.011
bf16,bf16,128,8192,744.261,0.012
bf16,bf16,128,16384,1362.57,0.013
bf16,bf16,128,32768,2717.617,0.013
bf16,bf16,128,65536,5416.553,0.013
bf16,bf16,256,1024,201.814,0.011
bf16,bf16,256,4096,755.729,0.011
bf16,bf16,256,8192,1478.38,0.012
bf16,bf16,256,16384,2725.076,0.013
bf16,bf16,512,1024,384.478,0.011
bf16,bf16,512,4096,1373.863,0.013
bf16,bf16,512,8192,2722.723,0.013
