dtype,kv_dtype,batch_size,kv_len,latency_us,mfu
bf16,bf16,1,1024,40.825,0.001
bf16,bf16,1,4096,24.334,0.006
bf16,bf16,1,8192,24.69,0.011
bf16,bf16,1,16384,36.564,0.015
bf16,bf16,1,32768,57.688,0.019
bf16,bf16,1,65536,100.953,0.021
bf16,bf16,1,131072,185.069,0.023
bf16,bf16,16,1024,36.938,0.015
bf16,bf16,16,4096,100.851,0.022
bf16,bf16,16,8192,183.444,0.024
bf16,bf16,16,16384,350.946,0.025
bf16,bf16,16,32768,689.648,0.025
bf16,bf16,16,65536,1374.542,0.025
bf16,bf16,16,131072,2750.533,0.025
bf16,bf16,32,1024,56.424,0.019
bf16,bf16,32,4096,193.701,0.022
bf16,bf16,32,8192,346.736,0.025
bf16,bf16,32,16384,681.746,0.025
bf16,bf16,32,32768,1366.595,0.025
bf16,bf16,32,65536,2752.958,0.025
bf16,bf16,32,131072,5488.448,0.025
bf16,bf16,64,1024,105.816,0.021
bf16,bf16,64,4096,378.727,0.023
bf16,bf16,64,8192,749.627,0.023
bf16,bf16,64,16384,1371.38,0.025
bf16,bf16,64,32768,2731.706,0.025
bf16,bf16,64,65536,5415.816,0.026
bf16,bf16,64,131072,10914.414,0.025
bf16,bf16,128,1024,199.698,0.022
bf16,bf16,128,4096,744.713,0.023
bf16,bf16,128,8192,1482.176,0.023
bf16,bf16,128,16384,2954.798,0.024
bf16,bf16,128,32768,5463.703,0.025
bf16,bf16,128,65536,10871.097,0.026
bf16,bf16,256,1024,385.109,0.023
bf16,bf16,256,4096,1492.863,0.023
bf16,bf16,256,8192,2978.19,0.023
bf16,bf16,256,16384,5916.672,0.023
bf16,bf16,512,1024,758.966,0.023
bf16,bf16,512,4096,2955.921,0.023
bf16,bf16,512,8192,5458.782,0.025
