dtype,kv_dtype,batch_size,kv_len,latency_us,mfu
bf16,bf16,1,1024,39.815,0.0
bf16,bf16,1,4096,23.289,0.001
bf16,bf16,1,8192,24.068,0.002
bf16,bf16,1,16384,26.565,0.004
bf16,bf16,1,32768,24.844,0.01
bf16,bf16,1,65536,39.899,0.012
bf16,bf16,1,131072,61.296,0.015
bf16,bf16,16,1024,23.074,0.005
bf16,bf16,16,4096,38.049,0.012
bf16,bf16,16,8192,58.202,0.016
bf16,bf16,16,16384,100.542,0.019
bf16,bf16,16,32768,183.794,0.021
bf16,bf16,16,65536,351.895,0.022
bf16,bf16,16,131072,685.309,0.022
bf16,bf16,32,1024,24.112,0.01
bf16,bf16,32,4096,58.249,0.016
bf16,bf16,32,8192,100.431,0.019
bf16,bf16,32,16384,183.817,0.021
bf16,bf16,32,32768,351.746,0.022
bf16,bf16,32,65536,685.394,0.022
bf16,bf16,32,131072,1355.827,0.022
bf16,bf16,64,1024,41.495,0.011
bf16,bf16,64,4096,100.943,0.019
bf16,bf16,64,8192,185.499,0.02
bf16,bf16,64,16384,351.02,0.022
bf16,bf16,64,32768,685.492,0.022
bf16,bf16,64,65536,1354.97,0.022
bf16,bf16,64,131072,2690.292,0.023
bf16,bf16,128,1024,57.517,0.017
bf16,bf16,128,4096,194.559,0.02
bf16,bf16,128,8192,346.961,0.022
bf16,bf16,128,16384,681.309,0.022
bf16,bf16,128,32768,1347.119,0.023
bf16,bf16,128,65536,2681.349,0.023
bf16,bf16,256,1024,106.418,0.018
bf16,bf16,256,4096,382.197,0.02
bf16,bf16,256,8192,687.557,0.022
bf16,bf16,256,16384,1359.93,0.022
bf16,bf16,512,1024,187.873,0.02
bf16,bf16,512,4096,692.207,0.022
bf16,bf16,512,8192,1360.953,0.022
