dtype,kv_dtype,batch_size,kv_len,latency_us,mfu
bf16,bf16,1,1024,38.194,0.0
bf16,bf16,1,4096,23.391,0.001
bf16,bf16,1,8192,23.7,0.003
bf16,bf16,1,16384,23.66,0.006
bf16,bf16,1,32768,23.597,0.011
bf16,bf16,1,65536,39.837,0.014
bf16,bf16,1,131072,61.246,0.018
bf16,bf16,16,1024,24.532,0.006
bf16,bf16,16,4096,37.511,0.014
bf16,bf16,16,8192,57.753,0.019
bf16,bf16,16,16384,100.022,0.022
bf16,bf16,16,32768,184.872,0.023
bf16,bf16,16,65536,351.491,0.025
bf16,bf16,16,131072,686.792,0.025
bf16,bf16,32,1024,25.519,0.011
bf16,bf16,32,4096,57.932,0.019
bf16,bf16,32,8192,100.037,0.022
bf16,bf16,32,16384,183.952,0.024
bf16,bf16,32,32768,350.506,0.025
bf16,bf16,32,65536,684.115,0.025
bf16,bf16,32,131072,1353.654,0.026
bf16,bf16,64,1024,41.166,0.013
bf16,bf16,64,4096,101.033,0.021
bf16,bf16,64,8192,184.386,0.024
bf16,bf16,64,16384,351.843,0.025
bf16,bf16,64,32768,685.374,0.025
bf16,bf16,64,65536,1359.948,0.026
bf16,bf16,64,131072,2688.061,0.026
bf16,bf16,128,1024,57.026,0.019
bf16,bf16,128,4096,193.72,0.022
bf16,bf16,128,8192,347.142,0.025
bf16,bf16,128,16384,684.264,0.025
bf16,bf16,128,32768,1348.824,0.026
bf16,bf16,128,65536,2694.995,0.026
bf16,bf16,256,1024,105.781,0.021
bf16,bf16,256,4096,381.423,0.023
bf16,bf16,256,8192,687.995,0.025
bf16,bf16,256,16384,1358.106,0.026
bf16,bf16,512,1024,193.717,0.022
bf16,bf16,512,4096,693.345,0.025
bf16,bf16,512,8192,1362.127,0.025
