dtype,kv_dtype,batch_size,kv_len,latency_us,mfu
bf16,bf16,1,1024,35.868,0.0
bf16,bf16,1,4096,22.558,0.002
bf16,bf16,1,8192,33.595,0.002
bf16,bf16,1,16384,54.47,0.002
bf16,bf16,1,32768,96.616,0.003
bf16,bf16,1,65536,184.227,0.003
bf16,bf16,1,131072,352.12,0.003
bf16,bf16,16,1024,53.65,0.003
bf16,bf16,16,4096,181.299,0.003
bf16,bf16,16,8192,350.426,0.003
bf16,bf16,16,16384,685.942,0.003
bf16,bf16,16,32768,1366.579,0.003
bf16,bf16,16,65536,2729.497,0.003
bf16,bf16,16,131072,5460.703,0.003
bf16,bf16,32,1024,99.17,0.003
bf16,bf16,32,4096,373.758,0.003
bf16,bf16,32,8192,739.147,0.003
bf16,bf16,32,16384,1360.5,0.003
bf16,bf16,32,32768,2717.977,0.003
bf16,bf16,32,65536,5422.039,0.003
bf16,bf16,32,131072,10893.202,0.003
bf16,bf16,64,1024,193.834,0.003
bf16,bf16,64,4096,744.617,0.003
bf16,bf16,64,8192,1482.852,0.003
bf16,bf16,64,16384,2964.77,0.003
bf16,bf16,64,32768,5616.365,0.003
bf16,bf16,64,65536,10962.962,0.003
bf16,bf16,64,131072,21929.725,0.003
bf16,bf16,128,1024,377.161,0.003
bf16,bf16,128,4096,1493.319,0.003
bf16,bf16,128,8192,2976.506,0.003
bf16,bf16,128,16384,5924.455,0.003
bf16,bf16,128,32768,11526.018,0.003
bf16,bf16,128,65536,21869.572,0.003
bf16,bf16,256,1024,824.022,0.003
bf16,bf16,256,4096,2974.572,0.003
bf16,bf16,256,8192,5940.661,0.003
bf16,bf16,256,16384,11313.746,0.003
bf16,bf16,512,1024,1521.603,0.003
bf16,bf16,512,4096,5931.386,0.003
bf16,bf16,512,8192,11104.17,0.003
