dtype,kv_dtype,batch_size,kv_len,latency_us,mfu
bf16,bf16,1,1024,35.956,0.0
bf16,bf16,1,4096,22.516,0.002
bf16,bf16,1,8192,38.504,0.002
bf16,bf16,1,16384,65.322,0.003
bf16,bf16,1,32768,117.32,0.003
bf16,bf16,1,65536,224.676,0.003
bf16,bf16,1,131072,435.222,0.003
bf16,bf16,16,1024,64.404,0.003
bf16,bf16,16,4096,223.26,0.003
bf16,bf16,16,8192,433.297,0.003
bf16,bf16,16,16384,859.894,0.003
bf16,bf16,16,32768,1703.761,0.003
bf16,bf16,16,65536,3394.656,0.003
bf16,bf16,16,131072,6797.022,0.003
bf16,bf16,32,1024,122.382,0.003
bf16,bf16,32,4096,466.253,0.003
bf16,bf16,32,8192,926.688,0.003
bf16,bf16,32,16384,1836.912,0.003
bf16,bf16,32,32768,3385.31,0.003
bf16,bf16,32,65536,6802.433,0.003
bf16,bf16,32,131072,13610.461,0.003
bf16,bf16,64,1024,242.452,0.003
bf16,bf16,64,4096,937.786,0.003
bf16,bf16,64,8192,1876.666,0.003
bf16,bf16,64,16384,3741.067,0.003
bf16,bf16,64,32768,7396.871,0.003
bf16,bf16,64,65536,13816.797,0.003
bf16,bf16,128,1024,469.656,0.003
bf16,bf16,128,4096,1860.313,0.003
bf16,bf16,128,8192,3713.2,0.003
bf16,bf16,128,16384,7570.74,0.003
bf16,bf16,128,32768,13677.44,0.003
bf16,bf16,256,1024,933.402,0.003
bf16,bf16,256,4096,3720.627,0.003
bf16,bf16,256,8192,7427.298,0.003
bf16,bf16,256,16384,13950.301,0.003
bf16,bf16,512,1024,1873.042,0.003
bf16,bf16,512,4096,7434.974,0.003
bf16,bf16,512,8192,13708.956,0.003
