dtype,kv_dtype,batch_size,kv_len,latency_us,mfu
bf16,bf16,1,1024,39.34,0.0
bf16,bf16,1,4096,23.604,0.001
bf16,bf16,1,8192,24.731,0.001
bf16,bf16,1,16384,23.305,0.003
bf16,bf16,1,32768,23.796,0.005
bf16,bf16,1,65536,36.436,0.007
bf16,bf16,1,131072,41.371,0.011
bf16,bf16,16,1024,22.791,0.003
bf16,bf16,16,4096,34.928,0.007
bf16,bf16,16,8192,38.746,0.012
bf16,bf16,16,16384,58.039,0.016
bf16,bf16,16,32768,100.502,0.019
bf16,bf16,16,65536,184.744,0.021
bf16,bf16,16,131072,352.694,0.022
bf16,bf16,32,1024,23.445,0.005
bf16,bf16,32,4096,36.799,0.013
bf16,bf16,32,8192,57.971,0.016
bf16,bf16,32,16384,100.499,0.019
bf16,bf16,32,32768,184.705,0.021
bf16,bf16,32,65536,352.704,0.022
bf16,bf16,32,131072,687.746,0.022
bf16,bf16,64,1024,34.936,0.007
bf16,bf16,64,4096,58.602,0.016
bf16,bf16,64,8192,100.212,0.019
bf16,bf16,64,16384,184.824,0.021
bf16,bf16,64,32768,352.567,0.022
bf16,bf16,64,65536,687.738,0.022
bf16,bf16,64,131072,1356.967,0.022
bf16,bf16,128,1024,41.356,0.011
bf16,bf16,128,4096,101.35,0.019
bf16,bf16,128,8192,185.74,0.02
bf16,bf16,128,16384,353.41,0.021
bf16,bf16,128,32768,688.215,0.022
bf16,bf16,128,65536,1358.512,0.022
bf16,bf16,256,1024,62.482,0.015
bf16,bf16,256,4096,180.928,0.021
bf16,bf16,256,8192,349.137,0.022
bf16,bf16,256,16384,683.794,0.022
bf16,bf16,512,1024,100.295,0.019
bf16,bf16,512,4096,350.709,0.022
bf16,bf16,512,8192,687.179,0.022
