dtype,kv_dtype,batch_size,kv_len,latency_us,mfu
bf16,bf16,1,1024,39.718,0.0
bf16,bf16,1,4096,23.498,0.003
bf16,bf16,1,8192,24.828,0.005
bf16,bf16,1,16384,36.332,0.007
bf16,bf16,1,32768,57.334,0.009
bf16,bf16,1,65536,100.053,0.011
bf16,bf16,1,131072,185.171,0.012
bf16,bf16,16,1024,35.615,0.008
bf16,bf16,16,4096,99.491,0.011
bf16,bf16,16,8192,182.171,0.012
bf16,bf16,16,16384,348.934,0.012
bf16,bf16,16,32768,682.686,0.013
bf16,bf16,16,65536,1378.613,0.013
bf16,bf16,16,131072,2751.585,0.013
bf16,bf16,32,1024,56.356,0.01
bf16,bf16,32,4096,193.261,0.011
bf16,bf16,32,8192,345.744,0.013
bf16,bf16,32,16384,687.238,0.013
bf16,bf16,32,32768,1371.867,0.013
bf16,bf16,32,65536,2749.408,0.013
bf16,bf16,32,131072,5496.289,0.013
bf16,bf16,64,1024,105.642,0.01
bf16,bf16,64,4096,377.053,0.012
bf16,bf16,64,8192,749.791,0.012
bf16,bf16,64,16384,1369.181,0.013
bf16,bf16,64,32768,2724.27,0.013
bf16,bf16,64,65536,5408.215,0.013
bf16,bf16,64,131072,10893.369,0.013
bf16,bf16,128,1024,199.479,0.011
bf16,bf16,128,4096,744.241,0.012
bf16,bf16,128,8192,1481.164,0.012
bf16,bf16,128,16384,2952.327,0.012
bf16,bf16,128,32768,5447.686,0.013
bf16,bf16,128,65536,10870.303,0.013
bf16,bf16,256,1024,384.039,0.011
bf16,bf16,256,4096,1492.275,0.012
bf16,bf16,256,8192,2977.75,0.012
bf16,bf16,256,16384,5871.974,0.012
bf16,bf16,512,1024,755.891,0.011
bf16,bf16,512,4096,2955.389,0.012
bf16,bf16,512,8192,5452.132,0.013
