dtype,kv_dtype,batch_size,kv_len,latency_us,mfu
bf16,bf16,1,1024,39.66,0.0
bf16,bf16,1,4096,26.677,0.003
bf16,bf16,1,8192,30.806,0.004
bf16,bf16,1,16384,25.321,0.011
bf16,bf16,1,32768,37.292,0.015
bf16,bf16,1,65536,59.572,0.018
bf16,bf16,1,131072,101.649,0.021
bf16,bf16,16,1024,24.522,0.011
bf16,bf16,16,4096,58.325,0.019
bf16,bf16,16,8192,100.292,0.022
bf16,bf16,16,16384,183.095,0.024
bf16,bf16,16,32768,350.234,0.025
bf16,bf16,16,65536,680.953,0.025
bf16,bf16,16,131072,1346.447,0.026
bf16,bf16,32,1024,40.651,0.013
bf16,bf16,32,4096,101.252,0.021
bf16,bf16,32,8192,184.281,0.024
bf16,bf16,32,16384,350.34,0.025
bf16,bf16,32,32768,682.883,0.025
bf16,bf16,32,65536,1347.528,0.026
bf16,bf16,32,131072,2708.093,0.026
bf16,bf16,64,1024,58.005,0.019
bf16,bf16,64,4096,193.458,0.022
bf16,bf16,64,8192,346.505,0.025
bf16,bf16,64,16384,678.443,0.026
bf16,bf16,64,32768,1354.806,0.026
bf16,bf16,64,65536,2671.639,0.026
bf16,bf16,64,131072,5331.095,0.026
bf16,bf16,128,1024,105.947,0.02
bf16,bf16,128,4096,379.064,0.023
bf16,bf16,128,8192,743.524,0.023
bf16,bf16,128,16384,1363.089,0.025
bf16,bf16,128,32768,2721.748,0.026
bf16,bf16,128,65536,5409.551,0.026
bf16,bf16,256,1024,200.768,0.022
bf16,bf16,256,4096,757.397,0.023
bf16,bf16,256,8192,1478.685,0.023
bf16,bf16,256,16384,2727.262,0.025
bf16,bf16,512,1024,386.355,0.022
bf16,bf16,512,4096,1378.019,0.025
bf16,bf16,512,8192,2725.005,0.025
