dtype,kv_dtype,batch_size,kv_len,latency_us,mfu
bf16,bf16,1,1024,38.554,0.0
bf16,bf16,1,4096,26.841,0.002
bf16,bf16,1,8192,23.849,0.005
bf16,bf16,1,16384,25.795,0.009
bf16,bf16,1,32768,37.467,0.013
bf16,bf16,1,65536,59.671,0.016
bf16,bf16,1,131072,102.555,0.019
bf16,bf16,16,1024,34.46,0.007
bf16,bf16,16,4096,58.081,0.016
bf16,bf16,16,8192,100.515,0.019
bf16,bf16,16,16384,183.032,0.021
bf16,bf16,16,32768,349.803,0.022
bf16,bf16,16,65536,681.692,0.022
bf16,bf16,16,131072,1347.902,0.023
bf16,bf16,32,1024,40.091,0.012
bf16,bf16,32,4096,100.801,0.019
bf16,bf16,32,8192,183.61,0.021
bf16,bf16,32,16384,350.231,0.022
bf16,bf16,32,32768,682.754,0.022
bf16,bf16,32,65536,1348.269,0.023
bf16,bf16,32,131072,2679.147,0.023
bf16,bf16,64,1024,57.986,0.016
bf16,bf16,64,4096,193.292,0.02
bf16,bf16,64,8192,346.018,0.022
bf16,bf16,64,16384,678.501,0.022
bf16,bf16,64,32768,1345.471,0.023
bf16,bf16,64,65536,2670.973,0.023
bf16,bf16,64,131072,5355.845,0.023
bf16,bf16,128,1024,106.11,0.018
bf16,bf16,128,4096,378.93,0.02
bf16,bf16,128,8192,745.07,0.02
bf16,bf16,128,16384,1361.746,0.022
bf16,bf16,128,32768,2734.809,0.022
bf16,bf16,128,65536,5404.517,0.022
bf16,bf16,256,1024,199.257,0.019
bf16,bf16,256,4096,757.055,0.02
bf16,bf16,256,8192,1479.884,0.021
bf16,bf16,256,16384,2726.725,0.022
bf16,bf16,512,1024,385.746,0.02
bf16,bf16,512,4096,1377.305,0.022
bf16,bf16,512,8192,2726.328,0.022
