dtype,kv_dtype,batch_size,kv_len,latency_us,mfu
bf16,bf16,1,1024,39.415,0.0
bf16,bf16,1,4096,22.842,0.001
bf16,bf16,1,8192,23.613,0.001
bf16,bf16,1,16384,23.352,0.003
bf16,bf16,1,32768,23.457,0.006
bf16,bf16,1,65536,39.419,0.007
bf16,bf16,1,131072,60.896,0.009
bf16,bf16,16,1024,23.417,0.003
bf16,bf16,16,4096,38.672,0.007
bf16,bf16,16,8192,57.135,0.009
bf16,bf16,16,16384,99.572,0.011
bf16,bf16,16,32768,183.155,0.012
bf16,bf16,16,65536,351.688,0.012
bf16,bf16,16,131072,683.934,0.013
bf16,bf16,32,1024,24.461,0.006
bf16,bf16,32,4096,57.868,0.009
bf16,bf16,32,8192,99.55,0.011
bf16,bf16,32,16384,183.056,0.012
bf16,bf16,32,32768,349.82,0.012
bf16,bf16,32,65536,684.853,0.013
bf16,bf16,32,131072,1351.157,0.013
bf16,bf16,64,1024,41.615,0.007
bf16,bf16,64,4096,100.348,0.011
bf16,bf16,64,8192,183.373,0.012
bf16,bf16,64,16384,350.143,0.012
bf16,bf16,64,32768,686.542,0.013
bf16,bf16,64,65536,1358.599,0.013
bf16,bf16,64,131072,2685.887,0.013
bf16,bf16,128,1024,57.249,0.009
bf16,bf16,128,4096,193.15,0.011
bf16,bf16,128,8192,346.473,0.013
bf16,bf16,128,16384,681.086,0.013
bf16,bf16,128,32768,1348.253,0.013
bf16,bf16,128,65536,2682.576,0.013
bf16,bf16,256,1024,105.658,0.01
bf16,bf16,256,4096,381.953,0.011
bf16,bf16,256,8192,687.544,0.013
bf16,bf16,256,16384,1357.08,0.013
bf16,bf16,512,1024,187.4,0.012
bf16,bf16,512,4096,691.856,0.013
bf16,bf16,512,8192,1359.926,0.013
