dtype,kv_dtype,batch_size,kv_len,latency_us,mfu
bf16,bf16,1,256,37.034,0.0
bf16,bf16,1,512,21.919,0.0
bf16,bf16,1,1024,22.03,0.001
bf16,bf16,1,4096,32.883,0.002
bf16,bf16,1,8192,54.549,0.002
bf16,bf16,1,16384,97.349,0.003
bf16,bf16,1,32768,180.369,0.003
bf16,bf16,1,65536,350.161,0.003
bf16,bf16,1,131072,687.477,0.003
bf16,bf16,16,256,32.439,0.002
bf16,bf16,16,512,50.628,0.003
bf16,bf16,16,1024,93.12,0.003
bf16,bf16,16,4096,347.548,0.003
bf16,bf16,16,8192,686.568,0.003
bf16,bf16,16,16384,1367.379,0.003
bf16,bf16,16,32768,2716.011,0.003
bf16,bf16,16,65536,5421.59,0.003
bf16,bf16,16,131072,10922.728,0.003
bf16,bf16,32,256,54.502,0.002
bf16,bf16,32,512,101.03,0.003
bf16,bf16,32,1024,192.487,0.003
bf16,bf16,32,4096,748.95,0.003
bf16,bf16,32,8192,1495.814,0.003
bf16,bf16,32,16384,2748.083,0.003
bf16,bf16,32,32768,5493.304,0.003
bf16,bf16,32,65536,11001.332,0.003
bf16,bf16,32,131072,22024.57,0.003
bf16,bf16,64,256,99.801,0.003
bf16,bf16,64,512,192.961,0.003
bf16,bf16,64,1024,376.213,0.003
bf16,bf16,64,4096,1486.384,0.003
bf16,bf16,64,8192,2957.353,0.003
bf16,bf16,64,16384,5917.003,0.003
bf16,bf16,64,32768,11610.856,0.003
bf16,bf16,64,65536,21887.214,0.003
bf16,bf16,128,256,209.372,0.003
bf16,bf16,128,512,413.456,0.003
bf16,bf16,128,1024,821.297,0.003
bf16,bf16,128,4096,2735.167,0.003
bf16,bf16,128,8192,5448.465,0.003
bf16,bf16,128,16384,10906.505,0.003
bf16,bf16,128,32768,21847.409,0.003
bf16,bf16,256,256,375.43,0.003
bf16,bf16,256,512,765.143,0.003
bf16,bf16,256,1024,1492.22,0.003
bf16,bf16,256,4096,5461.347,0.003
bf16,bf16,256,8192,10913.27,0.003
bf16,bf16,256,16384,21928.464,0.003
bf16,bf16,512,256,747.533,0.003
bf16,bf16,512,512,1504.204,0.003
bf16,bf16,512,1024,2998.539,0.003
bf16,bf16,512,4096,11835.356,0.003
bf16,bf16,512,8192,21837.027,0.003
