dtype,kv_dtype,batch_size,kv_len,latency_us,mfu
bf16,bf16,1,1024,38.964,0.001
bf16,bf16,1,4096,23.988,0.005
bf16,bf16,1,8192,24.752,0.01
bf16,bf16,1,16384,36.684,0.013
bf16,bf16,1,32768,57.471,0.017
bf16,bf16,1,65536,100.738,0.019
bf16,bf16,1,131072,184.883,0.021
bf16,bf16,16,1024,37.019,0.013
bf16,bf16,16,4096,100.201,0.019
bf16,bf16,16,8192,183.616,0.021
bf16,bf16,16,16384,348.832,0.022
bf16,bf16,16,32768,687.583,0.022
bf16,bf16,16,65536,1378.275,0.022
bf16,bf16,16,131072,2746.594,0.022
bf16,bf16,32,1024,56.136,0.017
bf16,bf16,32,4096,193.459,0.02
bf16,bf16,32,8192,344.824,0.022
bf16,bf16,32,16384,686.102,0.022
bf16,bf16,32,32768,1373.834,0.022
bf16,bf16,32,65536,2755.672,0.022
bf16,bf16,32,131072,5497.019,0.022
bf16,bf16,64,1024,105.838,0.018
bf16,bf16,64,4096,377.843,0.02
bf16,bf16,64,8192,749.632,0.02
bf16,bf16,64,16384,1370.892,0.022
bf16,bf16,64,32768,2728.213,0.022
bf16,bf16,64,65536,5416.519,0.022
bf16,bf16,64,131072,10903.223,0.022
bf16,bf16,128,1024,199.534,0.019
bf16,bf16,128,4096,744.384,0.02
bf16,bf16,128,8192,1481.157,0.021
bf16,bf16,128,16384,2953.011,0.021
bf16,bf16,128,32768,5424.792,0.022
bf16,bf16,128,65536,10870.299,0.022
bf16,bf16,256,1024,384.785,0.02
bf16,bf16,256,4096,1492.645,0.02
bf16,bf16,256,8192,2979.331,0.02
bf16,bf16,256,16384,5905.514,0.021
bf16,bf16,512,1024,758.173,0.02
bf16,bf16,512,4096,2957.247,0.021
bf16,bf16,512,8192,5453.726,0.022
