beta2a,beta2b,loss
0.0,0.5,41.3694
0.0,0.7,40.9611
0.0,0.9,40.0418
0.0,1.0,39.7602
0.0,1.1,39.5262
0.0,1.24,39.2993
0.0,1.4,39.3574
0.0,1.6,39.6187
0.0,1.8,40.5180
0.0,2.0,41.7226
0.0,2.5,46.5736
0.0,3.0,53.1454
0.05,0.5,41.7519
0.05,0.7,40.8987
0.05,0.9,40.0899
0.05,1.0,39.9170
0.05,1.1,39.6270
0.05,1.24,39.1851
0.05,1.4,39.4958
0.05,1.6,39.6567
0.05,1.8,40.4502
0.05,2.0,41.8438
0.05,2.5,46.7246
0.05,3.0,53.2148
0.1,0.5,41.8289
0.1,0.7,40.8649
0.1,0.9,40.1136
0.1,1.0,39.8943
0.1,1.1,39.5792
0.1,1.24,39.4178
0.1,1.4,39.3640
0.1,1.6,39.7361
0.1,1.8,40.6844
0.1,2.0,41.7952
0.1,2.5,46.8759
0.1,3.0,53.3730
0.2,0.5,41.9276
0.2,0.7,40.9491
0.2,0.9,39.8661
0.2,1.0,39.9325
0.2,1.1,39.5756
0.2,1.24,39.3890
0.2,1.4,39.3783
0.2,1.6,39.9913
0.2,1.8,40.7232
0.2,2.0,42.0405
0.2,2.5,47.0094
0.2,3.0,53.7331
0.3,0.5,41.7806
0.3,0.7,40.8109
0.3,0.9,39.9531
0.3,1.0,39.8901
0.3,1.1,39.6600
0.3,1.24,39.3778
0.3,1.4,39.8135
0.3,1.6,40.1109
0.3,1.8,41.0129
0.3,2.0,42.2627
0.3,2.5,47.3165
0.3,3.0,54.0999
0.5,0.5,41.3722
0.5,0.7,40.7843
0.5,0.9,40.0477
0.5,1.0,39.9736
0.5,1.1,39.9301
0.5,1.24,39.6341
0.5,1.4,40.0901
0.5,1.6,40.5206
0.5,1.8,41.3533
0.5,2.0,42.5686
0.5,2.5,47.8214
0.5,3.0,54.5576
0.7,0.5,41.2973
0.7,0.7,40.8466
0.7,0.9,40.2390
0.7,1.0,40.3766
0.7,1.1,40.1788
0.7,1.24,40.1887
0.7,1.4,40.5090
0.7,1.6,40.7962
0.7,1.8,41.6321
0.7,2.0,43.0427
0.7,2.5,48.1758
0.7,3.0,55.1534
1.0,0.5,41.6230
1.0,0.7,41.2271
1.0,0.9,40.7068
1.0,1.0,40.5763
1.0,1.1,40.4676
1.0,1.24,40.6158
1.0,1.4,40.7417
1.0,1.6,41.2205
1.0,1.8,42.2135
1.0,2.0,43.7628
1.0,2.5,48.8533
1.0,3.0,55.9099
1.24,0.5,41.7263
1.24,0.7,41.4601
1.24,0.9,41.1251
1.24,1.0,41.0381
1.24,1.1,40.8328
1.24,1.24,41.0001
1.24,1.4,41.2597
1.24,1.6,41.6274
1.24,1.8,43.0096
1.24,2.0,44.4209
1.24,2.5,49.3504
1.24,3.0,56.6736
1.5,0.5,42.1769
1.5,0.7,41.6552
1.5,0.9,41.6515
1.5,1.0,41.4685
1.5,1.1,41.3556
1.5,1.24,41.3109
1.5,1.4,41.5808
1.5,1.6,42.3912
1.5,1.8,43.4444
1.5,2.0,44.9684
1.5,2.5,50.0329
1.5,3.0,57.0584
2.0,0.5,42.7842
2.0,0.7,42.2837
2.0,0.9,42.4567
2.0,1.0,42.2076
2.0,1.1,42.1792
2.0,1.24,42.2285
2.0,1.4,42.6395
2.0,1.6,43.4530
2.0,1.8,44.5859
2.0,2.0,46.0239
2.0,2.5,51.1199
2.0,3.0,58.3788
2.5,0.5,43.6435
2.5,0.7,43.2090
2.5,0.9,42.8336
2.5,1.0,42.8170
2.5,1.1,42.9035
2.5,1.24,43.2882
2.5,1.4,43.7972
2.5,1.6,44.3153
2.5,1.8,45.4320
2.5,2.0,46.9683
2.5,2.5,52.2284
2.5,3.0,59.7720
