holdout_model,train_samples,test_samples,test_mape,test_r,intercept,coeff_new_tokens,coeff_kv_sum
codellama-34b,53716,24100,69.96523242563455,0.6568574132604363,-42.45026288644874,7.380137766081652,0.047314339853925344
llama-2-70b,58404,19412,295.4740891759287,0.8106340250668088,-37.84146025639973,11.440719141367326,0.06347973323060753
llama-2-7b,62600,15216,124.61767170288635,0.16899484607311704,-170.7798816170514,12.811944647060113,0.04706945929720658
mixtral-8x7b-v0-1,58728,19088,40.57778523921271,0.5753097428936264,-141.9571754137528,14.481088540213172,0.044361385603333914
