round,param,value,loss,wall_s
1,γ₇dc,145.49150281,57.993166,18
1,γ₇dc,204.50849719,59.909290,44
1,γ₇dc,109.01699437,67.758064,61
1,γ₇dc,168.03398875,55.688352,79
1,γ₇dc,181.96601125,55.927737,102
1,γ₇dc,159.42352531,56.093418,126
1,γ₇dc,173.35554781,55.999249,148
1,γ₇dc,164.74508438,56.025224,172
1,γ₇dc,170.06664344,55.304448,192
1,γ₇dc,171.32289312,55.149722,213
1,γ₇dc,172.09929813,56.002638,234
1,γ₇dc,170.84304844,54.811116,254
1,γ₇dc,170.54648812,54.788320,274
1,γ₇dc,170.45484594,54.614465,294
1,α₀,18368.81039375,54.677865,315
1,α₀,26631.18960625,65.842742,339
1,α₀,13262.37921249,55.883801,360
1,α₀,21524.75842499,57.626166,382
1,α₀,16418.32724372,55.021127,403
1,α₀,19574.27527496,56.256634,424
1,α₀,17623.79212493,55.107693,443
1,α₀,18829.25700613,55.200528,462
1,α₀,18084.23873730,55.699855,481
1,α₀,18544.68534968,56.198521,501
1,α₀,18260.11369322,56.106446,520
1,α₀,18435.98864915,55.925966,539
1,α₀,18348.05117118,54.991454,559
1,γ₁,0.09493422,56.726519,579
1,γ₁,0.13506578,62.483919,600
1,γ₁,0.07013156,54.745409,618
1,γ₁,0.05480267,55.912015,636
1,γ₁,0.07960533,54.834065,655
1,γ₁,0.06427644,55.819036,675
1,γ₁,0.07375022,54.945618,694
1,γ₁,0.06789510,55.070180,712
1,γ₁,0.07151376,54.887238,730
1,γ₁,0.06927731,54.889561,749
1,γ₁,0.07065951,54.910651,767
1,γ₁,0.06996841,54.938604,785
1,γ₂,0.48926091,56.356093,804
1,γ₂,0.76073909,58.186582,823
1,γ₂,0.32147817,54.552565,842
1,γ₂,0.21778274,54.921689,861
1,γ₂,0.38556548,56.137814,881
1,γ₂,0.28187004,55.437772,900
1,γ₂,0.34595735,54.703927,919
1,γ₂,0.30634921,54.663730,943
1,γ₂,0.33082839,54.675460,964
1,γ₂,0.31569943,55.550147,988
1,γ₂,0.32504964,54.619263,1008
1,γ₂,0.31927089,54.736096,1028
1,γ₂,0.32284235,55.513206,1048
1,γ₂,0.32105662,55.127660,1067
1,γ₃,0.81114562,55.922939,1085
1,γ₃,1.18885438,56.003810,1108
1,γ₃,0.57770876,56.732915,1126
1,γ₃,0.95541753,55.559380,1145
1,γ₃,1.04458247,54.597547,1166
1,γ₃,1.09968944,54.983588,1188
1,γ₃,1.01052449,54.711951,1209
1,γ₃,1.06563146,54.672786,1231
1,γ₃,1.03157348,54.596246,1254
1,γ₃,1.02353348,54.698095,1278
1,γ₃,1.03654247,54.911857,1305
1,γ₃,1.02850248,54.744137,1327
1,γ₃,1.03347147,54.806255,1354
1,γ₃,1.03098697,55.620328,1378
1,γ₉,190.98300563,55.539421,1398
1,γ₉,309.01699437,56.009836,1419
1,γ₉,118.03398875,55.892522,1438
1,γ₉,236.06797750,55.902858,1458
1,γ₉,163.11896062,55.380855,1477
1,γ₉,145.89803375,55.489445,1496
1,γ₉,173.76207875,54.864630,1515
1,γ₉,180.33988750,55.097651,1534
1,γ₉,169.69676937,55.450938,1552
1,γ₉,176.27457812,54.648047,1571
1,γ₉,177.82738813,55.267160,1589
1,γ₉,175.31488876,54.662530,1608
1,γ₉,176.86769877,54.986896,1627
1,γ₉,176.09129376,54.736431,1646
1,γ₈,190.98300563,61.219885,1668
1,γ₈,309.01699437,83.694311,1696
1,γ₈,118.03398875,56.017847,1718
1,γ₈,72.94901688,56.169587,1736
1,γ₈,145.89803375,56.032288,1758
1,γ₈,100.81306188,55.144274,1778
1,γ₈,90.16994375,54.728035,1797
1,γ₈,83.59213500,55.459662,1817
1,γ₈,94.23525313,55.105193,1836
1,γ₈,87.65744438,55.792985,1856
1,γ₈,91.72275376,54.637988,1875
1,γ₈,92.68244312,54.981863,1894
1,γ₈,91.12963311,55.151355,1913
1,γ₈,91.90603812,55.128218,1932
1,γ₇pf,30.55728090,78.444007,1951
1,γ₇pf,49.44271910,109.518964,1973
1,γ₇pf,18.88543820,63.204388,1992
1,γ₇pf,11.67184270,59.810273,2012
1,γ₇pf,7.21359550,57.995092,2032
1,γ₇pf,4.45824720,56.907319,2054
1,γ₇pf,2.75534830,55.484198,2078
1,γ₇pf,1.70289890,54.691233,2099
1,γ₇pf,1.05244940,55.465825,2121
1,γ₇pf,2.10489880,55.130472,2142
1,γ₇pf,1.45444930,56.036656,2167
1,γ₇pf,1.85644920,56.146138,2187
1,γ₇pf,1.65544925,55.966364,2207
1,α₂,7.63932023,54.614116,2226
1,α₂,12.36067977,54.613758,2245
1,α₂,15.27864045,54.613585,2264
1,α₂,17.08203932,54.613486,2284
1,α₂,18.19660113,54.613442,2304
1,α₂,18.88543820,54.613442,2323
1,α₂,19.31116293,54.613401,2341
1,α₂,19.57427527,54.613401,2360
1,α₂,19.73688765,54.613401,2379
1,α₂,19.83738762,54.613401,2398
1,α₂,19.89950003,54.613401,2418
1,α₂,19.93788760,54.613401,2437
1,α₂,19.96161243,54.613401,2457
1,α₂,19.96894380,54.613401,2476
2,γ₇dc,161.60229678,56.200728,2494
2,γ₇dc,179.30739510,55.939074,2516
2,γ₇dc,190.24974763,56.551406,2538
2,γ₇dc,172.54464932,55.769822,2557
2,γ₇dc,168.36504256,55.549637,2575
2,γ₇dc,165.78190353,56.161889,2594
2,γ₇dc,169.96151028,54.565833,2612
2,γ₇dc,170.94818160,54.824299,2632
2,γ₇dc,169.35171388,55.242230,2650
2,γ₇dc,170.33838519,56.015326,2669
