beta0,beta1,beta2,blis_completed,blis_e2e_ms,blis_itl_ms,blis_ttft_ms,e2e_error,experiment,gt_e2e_ms,gt_itl_ms,gt_requests,gt_ttft_ms,itl_error,model,status,tp,train_mape,ttft_error,workload
0.0,0.6091319572341573,13.999963586985656,7200,4.196608333333334,0.015229921425409474,0.37389805555555555,0.9979737496103804,20260217-162547-llama-2-7b-tp1-roleplay,2071.1203091347243,4.059359060868952,7200,27.12883728152974,0.9962481955409608,llama-2-7b,ok,1,40.885454817677115,0.9862176896239442,roleplay
0.0,1.5238669682026253,44.19403954440261,16800,117.75455226190475,0.46938247959869434,1.3476973214285715,0.9778682035833552,20260217-202857-llama-2-70b-tp4-general,5320.605252511034,10.494583793607287,16800,103.02162049001622,0.9552738356441904,llama-2-70b,ok,4,305.09020151980235,0.9869183059340523,general
0.0,1.5238669682026253,44.19403954440261,9000,21.479585333333333,0.08378915384615385,0.7836643333333334,0.995336099237908,20260217-203421-llama-2-70b-hf-tp4-codegen,4605.497935959306,9.188126368948637,9000,55.587112953642645,0.9908807138167669,llama-2-70b-hf,ok,4,305.09020151980235,0.9859020501031079,codegen
0.0,1.5238669682026253,44.19403954440261,7200,19.394022083333333,0.07336889054891545,0.9784305555555556,0.9957483897341127,20260218-084319-llama-2-70b-tp4-roleplay,4561.57099792086,8.955773409414409,7200,54.75399409082153,0.9918076432715696,llama-2-70b,ok,4,305.09020151980235,0.9821304258839526,roleplay
67.5067304530446,1.3921877480412008,7.162013063488628,9000,21.02715922222222,0.08205444624381467,0.759711,0.9955024333558419,20260218-120914-mixtral-8x7b-v0-1-tp2-codegen,4675.230160187726,9.322447453593773,9000,58.854975121278486,0.9911981862432292,mixtral-8x7b-v0-1,ok,2,24.12545456050223,0.9870918134204539,codegen
67.5067304530446,1.3921877480412008,7.162013063488628,16800,23.016629226190474,0.08974277265745008,0.7604216071428571,0.9954319742859711,20260218-130541-mixtral-8x7b-v0-1-tp2-general,5038.638279881672,9.99752643690138,16800,68.93669608209858,0.9910235023409185,mixtral-8x7b-v0-1,ok,2,24.12545456050223,0.9889692768821231,general
67.5067304530446,1.3921877480412008,7.162013063488628,7200,21.243590694444443,0.08085491367861886,0.9490073611111111,0.9954653481214285,20260218-141024-mixtral-8x7b-v0-1-tp2-roleplay,4684.723604656756,9.189132032182938,7200,60.509117330139915,0.9912010281933655,mixtral-8x7b-v0-1,ok,2,24.12545456050223,0.9843162914452496,roleplay
0.0,0.23910862983133047,39.12728218265871,16800,31.10832339285714,0.12448428595430107,0.23622047619047618,0.9923987573159603,20260218-150304-codellama-34b-tp2-general,4092.5312723108796,8.127407304822974,16800,51.589844846305255,0.9846833951732148,codellama-34b,ok,2,327.94848037922907,0.9954211826592188,general
0.0,0.23910862983133047,39.12728218265871,9000,15.630548666666668,0.06268164012595591,0.14818355555555557,0.9958014651727548,20260218-150956-codellama-34b-tp2-codegen,3722.85792777915,7.424517183929284,9000,45.58050997627692,0.991557479284763,codellama-34b,ok,2,327.94848037922907,0.9967489710924103,codegen
0.0,0.23910862983133047,39.12728218265871,7200,14.327266527777779,0.05640166334661355,0.1704490277777778,0.9960958266239331,20260218-155500-codellama-34b-tp2-roleplay,3669.7311178867753,7.19996093137098,7200,45.68358012591489,0.9921663931395981,codellama-34b,ok,2,327.94848037922907,0.9962689214087868,roleplay
