fold,held_out,experiment,workload,gt_e2e_ms,blis_e2e_ms,e2e_error_pct,gt_itl_ms,blis_itl_ms,itl_error_pct
1,34b,20260218-150304-codellama-34b-tp2-general,general,4092.5312723108796,80975.08893505952,1878.6064796356782,8.127407304822974,12.043424723502305,48.18286166555827
1,34b,20260218-150956-codellama-34b-tp2-codegen,codegen,3722.85792777915,2113.826206444445,43.22033643369689,7.424517183929284,8.199969987854251,10.444487967560653
1,34b,20260218-155500-codellama-34b-tp2-roleplay,roleplay,3669.7311178867753,1866.1499363888888,49.147502189110895,7.19996093137098,7.389284062638336,2.6295022024696744
2,70b,20260217-202857-llama-2-70b-tp4-general,general,5320.605252511034,119032.59516202382,2137.200271639151,10.494583793607287,14.418456625864055,37.38950404728744
2,70b,20260217-203421-llama-2-70b-hf-tp4-codegen,codegen,4605.497935959306,15515.08851888889,236.88189061487793,9.188126368948637,14.313008395411606,55.77722617945871
2,70b,20260218-084319-llama-2-70b-tp4-roleplay,roleplay,4561.57099792086,3709.905623888889,18.670439951941017,8.955773409414409,14.20949167718017,58.66292086223389
4,mixtral,20260218-120914-mixtral-8x7b-v0-1-tp2-codegen,codegen,4675.230160187726,1665.323694888889,64.37985643851124,9.322447453593773,6.701513950967161,28.11422124579796
4,mixtral,20260218-130541-mixtral-8x7b-v0-1-tp2-general,general,5038.638279881672,36922.054742738095,632.7784352006546,9.99752643690138,9.364029536290323,6.336536388368902
4,mixtral,20260218-141024-mixtral-8x7b-v0-1-tp2-roleplay,roleplay,4684.723604656756,1691.8017341666666,63.8868399304291,9.189132032182938,6.7,27.087781778140673
