coeff,value,loss,elapsed_s
γ₁ gemm+logits,0.60385072,304.501041,13.8
γ₁ gemm+logits,0.94614928,506.926889,15.8
γ₁ gemm+logits,0.39229857,195.269389,13.6
γ₁ gemm+logits,0.26155215,149.997072,12.7
γ₁ gemm+logits,0.18074642,128.222725,12.0
γ₁ gemm+logits,0.13080573,137.615777,11.9
γ₁ gemm+logits,0.21161146,141.762786,12.2
γ₁ gemm+logits,0.16167077,129.544916,11.7
γ₁ gemm+logits,0.19253582,129.743129,12.1
γ₁ gemm+logits,0.17346017,128.947302,12.0
γ₁ gemm+logits,0.18524957,127.437005,11.7
γ₁ gemm+logits,0.18803267,126.450156,12.0
γ₁ gemm+logits,0.18975272,130.210024,11.7
γ₁ gemm+logits,0.18750114,128.279299,12.0
γ₂ ctx_attn,0.60385072,130.884693,12.0
γ₂ ctx_attn,0.94614928,128.628855,12.5
γ₂ ctx_attn,1.15770143,124.807649,11.8
γ₂ ctx_attn,1.28844785,128.751842,11.6
γ₂ ctx_attn,1.0768957,126.899811,11.6
γ₂ ctx_attn,1.20764212,127.540585,11.7
γ₂ ctx_attn,1.12683639,125.559009,11.8
γ₂ ctx_attn,1.17677708,129.186966,11.6
γ₂ ctx_attn,1.14591204,124.666651,12.0
γ₂ ctx_attn,1.13862579,125.198123,12.0
γ₂ ctx_attn,1.15041518,125.161768,12.2
γ₂ ctx_attn,1.14312894,124.406271,11.8
γ₂ ctx_attn,1.14140889,124.533231,12.0
γ₂ ctx_attn,1.14366046,123.990029,12.6
γ₃ gen_attn,0.60385072,139.818189,12.9
γ₃ gen_attn,0.94614928,126.225953,12.7
γ₃ gen_attn,1.15770143,128.462429,11.7
γ₃ gen_attn,0.81540287,128.937122,11.9
γ₃ gen_attn,1.02695501,128.648909,11.8
γ₃ gen_attn,0.8962086,126.025030,11.6
γ₃ gen_attn,0.86534355,126.913491,11.7
γ₃ gen_attn,0.91528424,126.534813,11.7
γ₃ gen_attn,0.8844192,126.831938,11.7
γ₃ gen_attn,0.90349484,125.942976,12.0
γ₃ gen_attn,0.90799799,126.124700,12.0
γ₃ gen_attn,0.90071174,128.315836,15.2
γ₃ gen_attn,0.90521489,126.835800,22.3
γ₃ gen_attn,0.90296332,127.724174,24.1
α₀ queueing_us,11458.9803375,123.793963,21.8
α₀ queueing_us,18541.0196625,120.251652,21.7
α₀ queueing_us,22917.96067501,118.461111,22.4
α₀ queueing_us,25623.05898749,117.914980,22.9
α₀ queueing_us,27294.90168752,117.869921,22.9
α₀ queueing_us,28328.15729997,117.209306,22.3
α₀ queueing_us,28966.74438754,130.725956,24.2
α₀ queueing_us,27933.48877508,128.445245,23.1
α₀ queueing_us,28572.07586265,118.460011,23.5
α₀ queueing_us,28177.40733776,117.751117,23.6
α₀ queueing_us,28421.32590043,117.371051,23.5
α₀ queueing_us,28270.57593821,117.704886,23.2
α₀ queueing_us,28345.95091932,117.164209,23.1
γ₁ gemm+logits r2,0.47071989,247.944981,25.0
γ₁ gemm+logits r2,0.74928011,390.389684,15.7
γ₁ gemm+logits r2,0.29856021,184.982601,12.6
γ₁ gemm+logits r2,0.19215968,130.495935,11.9
γ₁ gemm+logits r2,0.12640053,122.160212,11.6
γ₁ gemm+logits r2,0.08575915,120.381060,11.6
γ₁ gemm+logits r2,0.06064139,121.767048,11.4
γ₁ gemm+logits r2,0.10128277,119.525564,11.5
γ₁ gemm+logits r2,0.1108769,120.114199,11.7
γ₁ gemm+logits r2,0.09535328,121.134076,11.6
γ₁ gemm+logits r2,0.10494741,120.341099,11.7
γ₁ gemm+logits r2,0.09901791,120.150415,11.5
γ₁ gemm+logits r2,0.10268254,119.450881,11.6
γ₁ gemm+logits r2,0.10354764,121.428517,11.6
γ₁ gemm+logits r2,0.10241521,119.855025,11.6
γ₂ ctx_attn r2,0.47071989,120.203686,11.5
γ₂ ctx_attn r2,0.74928011,121.983421,11.6
γ₂ ctx_attn r2,0.29856021,120.986879,11.8
γ₂ ctx_attn r2,0.57712043,120.521962,11.8
γ₂ ctx_attn r2,0.40496075,120.281604,11.7
γ₂ ctx_attn r2,0.51136128,120.540752,11.9
γ₂ ctx_attn r2,0.44560213,120.833924,12.0
γ₂ ctx_attn r2,0.48624352,120.127852,11.6
γ₂ ctx_attn r2,0.49583765,119.837124,11.8
γ₂ ctx_attn r2,0.50176715,119.975880,12.2
γ₂ ctx_attn r2,0.49217302,120.138779,11.9
γ₂ ctx_attn r2,0.49810252,119.762401,11.7
γ₂ ctx_attn r2,0.49950228,119.514991,12.0
γ₂ ctx_attn r2,0.50036739,120.171536,11.8
γ₂ ctx_attn r2,0.49923495,119.499230,11.8
γ₃ gen_attn r2,0.47071989,122.070365,11.7
γ₃ gen_attn r2,0.74928011,119.634581,11.7
γ₃ gen_attn r2,0.92143979,120.643659,11.8
γ₃ gen_attn r2,0.64287957,122.267111,12.0
γ₃ gen_attn r2,0.81503925,120.951216,12.4
γ₃ gen_attn r2,0.70863872,121.030805,12.4
γ₃ gen_attn r2,0.77439787,121.464116,13.3
γ₃ gen_attn r2,0.73375648,120.632449,11.2
γ₃ gen_attn r2,0.75887424,122.265611,11.3
γ₃ gen_attn r2,0.74335061,119.752241,456.2
γ₃ gen_attn r2,0.75294474,118.889942,11.6
γ₃ gen_attn r2,0.75520961,122.214695,12.0
γ₃ gen_attn r2,0.75154497,119.342149,12.9
γ₃ gen_attn r2,0.75380984,118.977507,158.9
γ₃ gen_attn r2,0.75267741,121.913194,12.6
