round,param,value,loss,wall_s
3,β₈ moe,473.13933697,34.025367,7604
3,β₈ moe,473.00114170,34.039965,7627
3,β₈ moe,473.18204166,33.989903,7650
3,β₂ᵦ dc_mem,2.04703475,34.305819,7674
3,β₂ᵦ dc_mem,2.14689151,34.425348,7697
3,β₂ᵦ dc_mem,1.98531988,34.350526,7720
3,β₂ᵦ dc_mem,2.08517664,34.013912,7743
3,β₂ᵦ dc_mem,2.10874962,34.157896,7766
3,β₂ᵦ dc_mem,2.07060773,34.234613,7789
3,β₂ᵦ dc_mem,2.09418072,34.323725,7813
3,β₂ᵦ dc_mem,2.07961181,34.359530,7836
3,β₂ᵦ dc_mem,2.08861589,34.057349,7859
3,β₂ᵦ dc_mem,2.08305106,34.345489,7883
3,β₂ᵦ dc_mem,2.08649032,33.842703,7906
3,β₂ᵦ dc_mem,2.08730221,34.247881,7929
3,β₂ᵦ dc_mem,2.08598854,34.215107,7952
3,β₂ᵦ dc_mem,2.08664537,33.911097,7975
3,α₀ queueing,15297.62310431,33.923377,7999
3,α₀ queueing,15828.77605369,34.190351,8022
3,α₀ queueing,14969.35252837,33.942599,8045
3,α₀ queueing,15500.50547775,34.131757,8068
3,α₀ queueing,15172.23490181,34.330644,8092
3,α₀ queueing,15375.11727525,33.949399,8115
3,α₀ queueing,15249.72907275,34.163930,8138
3,α₀ queueing,15327.22324368,34.112693,8161
3,α₀ queueing,15279.32921211,34.085458,8185
3,α₀ queueing,15308.92935148,34.234356,8208
3,α₀ queueing,15290.63545928,34.089924,8231
3,α₀ queueing,15299.78240538,33.913983,8255
3,β₄ tp_ar,0.49057738,34.077820,8278
3,β₄ tp_ar,0.55219112,33.961349,8302
3,β₄ tp_ar,0.59027051,34.063463,8326
3,β₄ tp_ar,0.52865677,34.114590,8349
3,β₄ tp_ar,0.56673615,33.894257,8372
3,β₄ tp_ar,0.57572548,34.037541,8395
3,β₄ tp_ar,0.56118044,34.052543,8419
3,β₄ tp_ar,0.57016977,33.927503,8442
3,β₄ tp_ar,0.56461406,33.880628,8465
3,β₄ tp_ar,0.56330254,34.002527,8488
3,β₄ tp_ar,0.56542463,33.924326,8511
3,β₄ tp_ar,0.56411310,33.893759,8534
3,β₄ tp_ar,0.56476887,33.886747,8558
3,β₁ₐ pf_cmp,0.14734762,34.371767,8581
3,β₁ₐ pf_cmp,0.15690838,34.252217,8605
3,β₁ₐ pf_cmp,0.16281725,34.618637,8628
3,β₁ₐ pf_cmp,0.15325649,34.084013,8651
3,β₁ₐ pf_cmp,0.15099951,34.048795,8675
3,β₁ₐ pf_cmp,0.14960461,34.205509,8699
3,β₁ₐ pf_cmp,0.15186160,34.113415,8722
3,β₁ₐ pf_cmp,0.15046670,34.082358,8745
3,β₁ₐ pf_cmp,0.15132880,34.202080,8768
3,β₁ₐ pf_cmp,0.15079599,34.482210,8791
3,β₁ₐ pf_cmp,0.15112528,34.259164,8814
3,β₁ₐ pf_cmp,0.15096064,34.298582,8838
3,β₇ per_step,121.98806258,34.121009,8861
3,β₇ per_step,130.06158742,33.902535,8885
3,β₇ per_step,135.05130017,34.494353,8909
3,β₇ per_step,126.97777534,34.201377,8932
3,β₇ per_step,131.96748809,34.230625,8956
3,β₇ per_step,128.88367602,34.226553,8980
3,β₇ per_step,130.78957670,34.160815,9003
3,β₇ per_step,129.61166530,34.170953,9027
3,β₇ per_step,130.33965458,34.178658,9051
3,β₇ per_step,129.88973246,34.353427,9074
3,β₇ per_step,130.16779962,34.466516,9098
3,β₇ per_step,129.99594466,34.271249,9121
3,β₇ per_step,130.08187214,34.258173,9145
3,α₁ post_dc,52.71497420,33.887086,9168
3,α₁ post_dc,85.29461996,33.887314,9192
3,α₁ post_dc,32.57964577,33.886947,9215
3,α₁ post_dc,20.13532843,33.886864,9238
3,α₁ post_dc,12.44431734,33.886809,9261
3,α₁ post_dc,7.69101108,33.886774,9284
3,α₁ post_dc,4.75330626,33.886754,9308
3,α₁ post_dc,2.93770483,33.886740,9331
3,α₁ post_dc,1.81560143,33.886733,9354
3,α₁ post_dc,1.12210339,33.886733,9378
3,α₁ post_dc,2.02990411,33.886740,9401
3,α₂ per_tok,4.13213185,33.888307,9424
3,α₂ per_tok,6.68592977,33.889392,9447
3,α₂ per_tok,2.55379793,33.887254,9470
3,α₂ per_tok,1.57833392,33.886740,9494
3,α₂ per_tok,0.97546401,33.886234,9516
3,α₂ per_tok,0.60286991,33.886234,9540
3,α₂ per_tok,1.20573982,33.886740,9563
3,α₂ per_tok,0.83314573,33.886234,9586
3,α₂ per_tok,1.06342154,33.886740,9609
3,α₂ per_tok,0.92110326,33.886234,9632
3,α₂ per_tok,0.99226240,33.886234,9656
