gen,job,a0,g1,g2,g3,g7pf,g8,g9,g7dc,a2,loss,wall_s
7,61,13072.9,0.03404,0.07825,0.85020,43.117,335.362,638.556,640.148,13.6325,101.367339,974
7,62,20321.6,0.06388,0.29150,1.08188,29.813,201.080,588.461,148.136,3.2749,77.636512,974
7,63,17196.9,0.03570,0.13206,1.34467,93.254,479.281,388.525,216.567,10.8671,156.157978,974
7,64,23093.1,0.04674,0.15314,1.19246,72.909,288.596,539.267,215.492,5.6582,112.094809,974
7,65,19949.0,0.03841,0.14366,1.03260,20.845,295.457,342.234,791.239,7.8018,113.848377,974
7,66,24754.6,0.05151,0.40033,0.87948,28.903,381.107,675.613,538.193,11.2937,114.501948,974
7,67,17637.3,0.03095,0.22051,0.58802,24.337,455.578,732.297,213.111,11.4539,61.162870,974
7,68,25326.7,0.05861,0.09389,0.49258,10.353,296.516,604.545,405.384,9.8547,71.715176,974
7,69,31968.1,0.03900,0.22567,0.42079,59.273,274.127,800.000,419.294,10.1150,136.668030,974
7,70,37405.7,0.03391,0.19000,0.45016,13.035,305.628,735.534,336.798,11.2896,92.944852,974
8,71,21035.6,0.06251,0.29281,0.60359,36.156,398.859,717.273,151.596,6.3051,71.433137,1107
8,72,26188.9,0.03008,0.11526,0.61414,31.328,318.514,620.451,44.794,13.6108,89.500104,1107
8,73,16283.2,0.04086,0.40217,0.31483,76.199,479.911,709.628,89.584,9.5395,108.839874,1107
8,74,22838.3,0.03075,0.50175,0.20239,75.152,414.074,799.840,102.482,11.7396,125.232939,1107
8,75,30103.9,0.05327,0.34924,0.20573,65.020,473.555,631.334,257.134,9.3577,130.588114,1107
8,76,25833.1,0.03637,0.19508,0.87807,2.049,238.422,517.412,489.236,11.2348,71.690771,1107
8,77,27498.9,0.10381,0.09546,0.74084,64.119,435.759,799.089,343.040,13.0804,171.875316,1107
8,78,16177.4,0.03571,0.10431,0.87903,20.007,245.713,691.540,640.629,5.0155,78.505479,1107
8,79,17792.9,0.03028,0.09974,0.89022,9.796,477.744,683.301,240.718,11.3663,63.951248,1107
8,80,20691.5,0.09659,0.17695,0.50572,20.281,285.445,347.860,177.670,10.2871,75.250998,1107
9,81,16233.0,0.03573,0.12942,0.83676,2.221,441.083,795.649,523.882,7.7138,89.598228,1251
