coeff,value,loss,elapsed_s
γ₇ per_layer_us,76.39320225,92.014284,12.4
γ₇ per_layer_us,123.60679775,82.518928,12.6
γ₇ per_layer_us,152.7864045,78.296889,13.4
γ₇ per_layer_us,170.82039325,75.992872,14.5
γ₇ per_layer_us,181.96601125,75.726898,14.7
γ₇ per_layer_us,188.854382,75.715270,15.8
γ₇ per_layer_us,193.11162925,76.115968,16.3
γ₇ per_layer_us,186.2232585,75.405601,15.1
γ₇ per_layer_us,184.59713475,75.846912,14.8
γ₇ per_layer_us,187.22825825,75.128114,15.6
γ₇ per_layer_us,187.84938225,75.216827,15.6
γ₇ per_layer_us,186.8443825,75.649343,15.8
γ₇ per_layer_us,187.46550651,75.187029,15.5
γ₇ per_layer_us,187.15494451,75.082842,15.8
γ₈ per_req_us,763.9320225,274.418637,30.4
γ₈ per_req_us,1236.0679775,553.513835,29.9
γ₈ per_req_us,472.135955,145.810561,30.0
γ₈ per_req_us,291.7960675,95.033298,24.8
γ₈ per_req_us,180.3398875,78.809511,20.8
γ₈ per_req_us,111.45618,73.965171,18.1
γ₈ per_req_us,68.8837075,76.644662,16.2
γ₈ per_req_us,137.76741499,75.743314,19.6
γ₈ per_req_us,95.19494249,73.764239,17.0
γ₈ per_req_us,85.14494501,73.464509,16.6
γ₈ per_req_us,78.93370498,75.854404,16.4
γ₈ per_req_us,88.98370246,75.452069,17.3
γ₈ per_req_us,82.77246243,76.177249,16.6
γ₈ per_req_us,85.87808244,75.004675,17.4
γ₉ per_step_us,381.96601125,78.068514,19.9
γ₉ per_step_us,618.03398875,78.667810,22.1
γ₉ per_step_us,236.0679775,75.914472,21.2
γ₉ per_step_us,145.89803375,76.595406,20.6
γ₉ per_step_us,291.7960675,76.732328,19.7
γ₉ per_step_us,201.62612375,75.963444,19.4
γ₉ per_step_us,257.35421375,76.748148,18.7
γ₉ per_step_us,222.91236,74.384365,19.4
γ₉ per_step_us,214.78174125,73.273142,19.0
γ₉ per_step_us,209.75674251,76.207806,19.4
γ₉ per_step_us,217.88736126,76.531507,20.4
γ₉ per_step_us,212.86236252,76.264785,18.0
γ₉ per_step_us,215.96798254,74.124840,18.5
γ₉ per_step_us,214.41517253,74.513131,18.7
α₂ per_token_us,763.9320225,76.768741,18.3
α₂ per_token_us,1236.0679775,79.360102,18.4
α₂ per_token_us,472.135955,75.482682,18.4
α₂ per_token_us,291.7960675,74.811695,18.5
α₂ per_token_us,180.3398875,74.451044,18.0
α₂ per_token_us,111.45618,74.246688,18.1
α₂ per_token_us,68.8837075,74.127093,18.0
α₂ per_token_us,42.5724725,74.057682,18.4
α₂ per_token_us,26.31123499,74.016057,20.0
α₂ per_token_us,16.26123751,73.990464,18.9
α₂ per_token_us,10.04999748,73.975264,18.8
α₂ per_token_us,6.21124003,73.965196,19.0
α₂ per_token_us,3.83875745,73.957679,19.4
α₂ per_token_us,3.10562002,73.957679,19.2
γ₅ allreduce,0.19098301,81.744987,19.9
γ₅ allreduce,0.30901699,87.567319,19.1
γ₅ allreduce,0.11803399,78.328223,18.5
γ₅ allreduce,0.07294902,77.647887,18.9
γ₅ allreduce,0.04508497,77.184748,19.8
γ₅ allreduce,0.02786405,76.557129,19.4
γ₅ allreduce,0.01722093,74.303589,19.5
γ₅ allreduce,0.01064312,73.742332,18.9
γ₅ allreduce,0.00657781,74.304645,19.1
γ₅ allreduce,0.01315562,73.807475,19.0
γ₅ allreduce,0.00909031,73.592025,19.3
γ₅ allreduce,0.00813062,74.957784,20.0
γ₅ allreduce,0.00968343,74.017651,19.1
γ₅ allreduce,0.00890702,73.587988,18.9
γ₁ gemm r3,0.1454915,84.802774,20.8
γ₁ gemm r3,0.2045085,107.946833,21.4
γ₁ gemm r3,0.10901699,77.109762,19.3
γ₁ gemm r3,0.08647451,69.644563,19.4
γ₁ gemm r3,0.07254249,71.265543,19.3
γ₁ gemm r3,0.09508497,75.233855,18.3
γ₁ gemm r3,0.08115295,71.713402,18.6
γ₁ gemm r3,0.08976341,72.614524,18.5
γ₁ gemm r3,0.08444185,72.348662,18.4
γ₁ gemm r3,0.08773076,72.446108,18.5
γ₁ gemm r3,0.0856981,72.296810,18.5
γ₁ gemm r3,0.08695435,71.930870,18.7
γ₁ gemm r3,0.08617795,69.752749,18.8
γ₁ gemm r3,0.08656615,69.461492,18.6
γ₂ ctx_attn r3,0.50557281,69.656991,17.9
γ₂ ctx_attn r3,0.69442719,75.146065,18.4
γ₂ ctx_attn r3,0.38885438,71.816620,17.8
γ₂ ctx_attn r3,0.57770876,72.777584,18.2
γ₂ ctx_attn r3,0.46099034,69.678642,18.6
γ₂ ctx_attn r3,0.53312629,72.491944,18.5
γ₂ ctx_attn r3,0.48854382,69.509830,18.1
γ₂ ctx_attn r3,0.47801933,73.164424,18.5
γ₂ ctx_attn r3,0.49504832,69.758165,18.4
γ₂ ctx_attn r3,0.48452382,69.509289,18.0
γ₂ ctx_attn r3,0.48203932,69.400650,18.1
γ₂ ctx_attn r3,0.48050382,69.423818,18.3
γ₂ ctx_attn r3,0.48298832,69.618224,18.5
γ₂ ctx_attn r3,0.48145282,69.576584,18.0
γ₂ ctx_attn r3,0.48222057,69.449593,17.8
γ₃ gen_attn r3,0.64376941,72.318007,16.4
γ₃ gen_attn r3,0.85623059,70.349717,20.4
γ₃ gen_attn r3,0.98753882,73.841251,21.9
γ₃ gen_attn r3,0.77507764,72.315507,18.5
γ₃ gen_attn r3,0.90638587,69.922951,20.7
γ₃ gen_attn r3,0.93738354,72.015577,21.4
γ₃ gen_attn r3,0.88722826,71.990237,20.5
γ₃ gen_attn r3,0.91822593,71.007840,21.2
γ₃ gen_attn r3,0.89906831,71.797575,20.4
