family,held_out_workload,experiment,gt_e2e_ms,blis_e2e_ms,e2e_error_pct,gt_itl_ms,blis_itl_ms,itl_error_pct
34b,codegen,20260218-150956-codellama-34b-tp2-codegen,3722.85792777915,17971.19037755556,382.7256566375653,7.424517183929284,14.598931679262257,96.63139457556015
34b,general,20260218-150304-codellama-34b-tp2-general,4092.5312723108796,1839.8770195238094,55.043055334189084,8.127407304822974,6.673,17.89509557322048
34b,roleplay,20260218-155500-codellama-34b-tp2-roleplay,3669.7311178867753,3787.8242566666668,3.218032465765385,7.19996093137098,14.394769216467463,99.9284350800843
70b,codegen,20260217-203421-llama-2-70b-hf-tp4-codegen,4605.497935959306,2016.8619743333334,56.20751540054204,9.188126368948637,8.116,11.668607133788443
70b,general,20260217-202857-llama-2-70b-tp4-general,5320.605252511034,16465.702807380952,209.47048363736513,10.494583793607287,8.116,22.664870188145883
70b,roleplay,20260218-084319-llama-2-70b-tp4-roleplay,4561.57099792086,2049.343643611111,55.073731296845075,8.955773409414409,8.116,9.37689433423617
mixtral,codegen,20260218-120914-mixtral-8x7b-v0-1-tp2-codegen,4675.230160187726,2267.461053,51.500547025283694,9.322447453593773,9.124,2.1287055205365766
mixtral,general,20260218-130541-mixtral-8x7b-v0-1-tp2-general,5038.638279881672,32983.70516476191,554.6154602218538,9.99752643690138,9.124,8.737425626374424
mixtral,roleplay,20260218-141024-mixtral-8x7b-v0-1-tp2-roleplay,4684.723604656756,2303.9034491666666,50.82093110303204,9.189132032182938,9.124,0.7087941707097755
