experiment,model,workload,label,status,gt_e2e_ms,blis_e2e_ms,e2e_error,ttft_error,itl_error,alpha0,beta0,beta1,beta2,holdout_model
20260218-155500-codellama-34b-tp2-roleplay,codellama-34b,roleplay,lomo-holdout-llama-2-7b,ok,3669.7311178867753,22035.42934986111,5.004644112059707,375.5036395421464,1.6756426533284263,49061.58412598126,15460.547882277542,0.0,30.05285331730252,llama-2-7b
20260217-162547-llama-2-7b-tp1-roleplay,llama-2-7b,roleplay,lomo-holdout-codellama-34b,ok,2071.1203091347243,3378.0514136125653,0.6310261643003504,19.61734561294499,1.7276031219442165,26447.486868498283,10242.521022320208,0.0,11.760667057832608,codellama-34b
20260217-202857-llama-2-70b-tp4-general,llama-2-70b,general,lomo-holdout-codellama-34b,ok,5320.605252511034,272651.31495666667,50.244417132428715,2588.423225862088,1.2610503763877692,77801.72716212226,19243.636797972445,0.0,35.25031049434857,codellama-34b
20260217-203421-llama-2-70b-hf-tp4-codegen,llama-2-70b-hf,codegen,lomo-holdout-codellama-34b,ok,4605.497935959306,98233.14327933334,20.32953800985078,1660.7994381166284,1.5814473866594023,77801.72716212226,19243.636797972445,0.0,35.25031049434857,codellama-34b
20260218-084319-llama-2-70b-tp4-roleplay,llama-2-70b,roleplay,lomo-holdout-codellama-34b,ok,4561.57099792086,53896.044995,10.815237561700899,874.6340036415368,1.6476214460329528,77801.72716212226,19243.636797972445,0.0,35.25031049434857,codellama-34b
20260218-120914-mixtral-8x7b-v0-1-tp2-codegen,mixtral-8x7b-v0-1,codegen,lomo-holdout-codellama-34b,ok,4675.230160187726,52902.28140888889,10.315438940179298,819.8930419013288,0.9927704031744048,64360.19306873007,17224.402161720485,0.0,10.662453330432612,codellama-34b
20260218-130541-mixtral-8x7b-v0-1-tp2-general,mixtral-8x7b-v0-1,general,lomo-holdout-codellama-34b,ok,5038.638279881672,188157.61014845237,36.342948569999564,2661.581554620898,0.8585382388016164,64360.19306873007,17224.402161720485,0.0,10.662453330432612,codellama-34b
20260218-141024-mixtral-8x7b-v0-1-tp2-roleplay,mixtral-8x7b-v0-1,roleplay,lomo-holdout-codellama-34b,ok,4684.723604656756,17071.8598325,2.6441551889059274,204.08920555747142,1.021309058656257,64360.19306873007,17224.402161720485,0.0,10.662453330432612,codellama-34b
20260218-150304-codellama-34b-tp2-general,codellama-34b,general,lomo-holdout-codellama-34b,ok,4092.5312723108796,213461.65583404762,51.1588331598783,4039.9372141882145,1.4758579674936885,55465.86662936034,15790.397247498468,0.0,34.04718482052223,codellama-34b
20260218-150956-codellama-34b-tp2-codegen,codellama-34b,codegen,lomo-holdout-codellama-34b,ok,3722.85792777915,66423.09796466667,16.84196422566439,1347.2835243247337,1.708853926171786,55465.86662936034,15790.397247498468,0.0,34.04718482052223,codellama-34b
